title,url,date_posted,snippet,full_text,image_urls,url_source
BRP Teresa Magbanua Confronts Illegal Chinese Presence in Philippine EEZ,https://wpstransparency.ph/brp-teresa-magbanua-confronts-illegal-chinese-presence-in-philippine-eez/,"February 27, 2025","In compliance with the directive from President Ferdinand Marcos, the Philippine Coast Guard (PCG) vessel, BRP Teresa Magbanua, is firmly asserting the Philippines’ sovereign rights in light of the unlawful ...","In compliance with the directive from President Ferdinand Marcos, the Philippine Coast Guard (PCG) vessel, BRP Teresa Magbanua, is firmly asserting the Philippines’ sovereign rights in light of the unlawful presence of the China Coast Guard vessel 3301. This vessel is currently located approximately 105-110 nautical miles off the coast of Zambales, within the Philippines’ Exclusive Economic Zone (EEZ).

The PCG has actively communicated with the China Coast Guard vessel via radio, clearly indicating that its presence constitutes a violation of the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 Arbitral Award.

Despite challenging sea conditions, with wave heights reaching 2-4 meters, the BRP Teresa Magbanua has remained steadfast in its mission for over a week. The PCG is dedicated to protecting the maritime rights of the Philippines, ensuring the safety of Filipino fishermen, upholding international law, and contributing to the de-escalation of tensions in the West Philippine Sea.",['https://pbs.twimg.com/media/GkxkJpVXcAEJQNM?format=jpg&name=large'],https://x.com/jaytaryela/status/1895000321400951063
"PCG, BFAR Conduct MDA Flight Over Kalayaan Amid Chinese Aggression",https://wpstransparency.ph/pcg-bfar-conduct-mda-flight-over-kalayaan-amid-chinese-aggression/,"February 20, 2025","In response to recent aggressive maneuvers by the People’s Liberation Army (PLA) Navy, the Bureau of Fisheries and Aquatic Resources (BFAR) and the Philippine Coast Guard (PCG) conducted a maritime ...","In response to recent aggressive maneuvers by the People’s Liberation Army (PLA) Navy, the Bureau of Fisheries and Aquatic Resources (BFAR) and the Philippine Coast Guard (PCG) conducted a maritime domain awareness (MDA) flight over the Kalayaan Island Group in the West Philippine Sea this morning. The MDA flight was executed using two BFAR aircraft, departing from Puerto Princesa.

The mission aimed to assert the Philippines’ sovereignty, sovereign rights, and maritime jurisdiction in the West Philippine Sea. During the operation, the aircraft observed and documented the following sightings:

Rozul Reef-Detected six Chinese Maritime Militia vessels illegally present.

Pagasa Island-Noted the presence of a China Coast Guard vessel with bow number 5101 and over fifty Chinese Maritime Militia vessels.

Throughout the flight, the BFAR aircraft consistently challenged the illegal presence of Chinese maritime forces encountered. This mission also documented the unlawful activities conducted by the Chinese Coast Guard and Maritime Militia in the Kalayaan Island Group.

Undeterred by provocations from the People’s Republic of China, BFAR and PCG remain resolute in maintaining our presence in the West Philippine Sea and confronting the illegal activities of foreign vessels. BFAR and PCG reaffirm our unwavering commitment to upholding the Philippines’ sovereignty and ensuring the safety and security of the nation’s maritime domain, despite the unprofessional and dangerous behavior exhibited by Chinese maritime forces.","['https://pbs.twimg.com/media/GkOXKGLWcAA5_8s?format=jpg&name=large', 'https://pbs.twimg.com/media/GkOXKFjbgAAJxOG?format=jpg&name=large']",https://x.com/jaytaryela/status/1892522620274590118
PLA-Navy Helicopter Threatens BFAR Maritime Patrol,https://wpstransparency.ph/pla-navy-helicopter-threatens-bfar-maritime-patrol/,"February 18, 2025","At approximately 0700 hours today, the Bureau of Fisheries and Aquatic Resources (BFAR) conducted a Maritime Domain Awareness Flight over the territorial airspace of Bajo De Masinloc, accompanied by personnel ...","At approximately 0700 hours today, the Bureau of Fisheries and Aquatic Resources (BFAR) conducted a Maritime Domain Awareness Flight over the territorial airspace of Bajo De Masinloc, accompanied by personnel from the Philippine Coast Guard (PCG) and photojournalists.

Around 0839 hours, a People’s Liberation Army Navy (PLA-Navy) helicopter, identified by tail number 68, performed dangerous flight maneuvers towards the BFAR aircraft. This reckless action posed a serious risk to the safety of the pilots and passengers during the MDA flight.

The PLA-Navy helicopter came as close as three (3) meters to the port side and above the BFAR aircraft, raising significant concerns regarding the PLA-Navy’s clear violation and blatant disregard for the International Civil Aviation Organization’s (ICAO) international aviation regulations.

The PCG and BFAR remain committed to asserting our sovereignty, sovereign rights, and maritime jurisdiction in the West Philippine Sea, despite the aggressive and escalatory actions of China.","['https://pbs.twimg.com/media/GkDapWXaAAI1_E8?format=jpg&name=large', 'https://pbs.twimg.com/media/GkDapWZaAAE6_6p?format=jpg&name=large']",https://x.com/jaytaryela/status/1891766803489227123
BRP Bagacay Replaces BRP Cabra to Challenge Illegal Chinese Presence in WPS,https://wpstransparency.ph/brp-bagacay-replaces-brp-cabra-to-challenge-illegal-chinese-presence-in-wps/,"February 16, 2025","This morning, the Philippine Coast Guard vessel BRP Bagacay took over from BRP Cabra to maintain continuous vigilance against the illegal presence of Chinese Coast Guard vessels off the coast ...","This morning, the Philippine Coast Guard vessel BRP Bagacay took over from BRP Cabra to maintain continuous vigilance against the illegal presence of Chinese Coast Guard vessels off the coast of Zambales. BRP Cabra returned to port for logistical reasons after a week-long deployment at sea.

Relatedly, the Chinese Coast Guard vessel CCG-5303 has also been replaced by CCG-3105. The BRP Bagacay, a 44-meter patrol vessel, has successfully pushed the CCG-3105 further away, establishing a distance of approximately 95 nautical miles off the coast of Zambales. Meanwhile, the CCG-5303 remains in the area alongside CCG-3301, which continues to illegally patrol the vicinity of Bajo De Masinloc.

The Philippine Coast Guard remains unwavering in its commitment to asserting the nation’s sovereignty, sovereign rights, and maritime jurisdiction in the West Philippine Sea in accordance with UNCLOS, the Philippine Maritime Zones Act and the 2016 Arbitral Award. Despite operating with limited resources and facing challenging sea conditions that jeopardize the safety of our personnel, the PCG’s resolve to protect our maritime interests will not waver.",['https://pbs.twimg.com/media/Gj6CEw4bwAAiuu1?format=jpg&name=medium'],https://x.com/jaytaryela/status/1891092436585484755
PCG Drives Away Chinese Vessels in West Philippine Sea Patrol,https://wpstransparency.ph/pcg-drives-away-chinese-vessels-in-west-philippine-sea-patrol/,"February 13, 2025","The Philippine Coast Guard (PCG) vessel, BRP Cabra, has vigilantly maneuvered to drive away the China Coast Guard vessel CCG-3304, which was observed approaching within 43 nautical miles off the ...","The Philippine Coast Guard (PCG) vessel, BRP Cabra, has vigilantly maneuvered to drive away the China Coast Guard vessel CCG-3304, which was observed approaching within 43 nautical miles off the coast of Bolinao, Pangasinan, yesterday. Due to the exceptional seamanship skills of the crew aboard BRP Cabra, the PCG vessel was able to push the Chinese vessel to an approximate distance of 101.44 nautical miles off Bani, Pangasinan.

At approximately 3:00 PM today, the China Coast Guard vessel with bow number 3103 arrived in the vicinity, seemingly taking the place of CCG-3304, which had departed toward the Bajo De Masinloc area. Undeterred, the 44-meter PCG vessel BRP Cabra challenged the larger 77-meter CCG vessel, asserting its presence within the Philippine Exclusive Economic Zone (EEZ) and highlighting that the CCG’s illegal patrols are in violation of the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 Arbitral Award.

The PCG remains steadfast in its patriotic duty to patrol our Exclusive Economic Zone, aiming to prevent the normalization of illegal Chinese activities and to document the CCG’s escalating actions in the Philippines’ WPS. The professionalism exhibited by PCG personnel aboard its vessels underscores their commitment to the President’s directive of non-escalation and non-provocation.","['https://pbs.twimg.com/media/GjqcqTWaMAAqB8j?format=jpg&name=large', 'https://pbs.twimg.com/media/GjqcqWLaAAA4MDc?format=jpg&name=large']",https://x.com/jaytaryela/status/1889995373214908456
BRP Cabra Deters Chinese Vessels Near Luzon Coast,https://wpstransparency.ph/brp-cabra-deters-chinese-vessels-near-luzon-coast/,"February 11, 2025","The Philippine Coast Guard (PCG) vessel, BRP Cabra, has successfully deterred the Chinese Coast Guard vessel CCG-3304 from approaching the Zambales coastline. Despite its smaller size, the BRP Cabra has ...","The Philippine Coast Guard (PCG) vessel, BRP Cabra, has successfully deterred the Chinese Coast Guard vessel CCG-3304 from approaching the Zambales coastline. Despite its smaller size, the BRP Cabra has effectively maintained a distance of 78 to 85 nautical miles between the Chinese vessel and the Philippines’ Exclusive Economic Zone (EEZ).

In a further demonstration of its commitment, the 44-meter-long BRP Cabra has also confronted Lan Hai 101, one of China’s two largest fisheries research ships, which was operating approximately 25 nautical miles off the coast of Pangasinan. The BRP Cabra has asserted that the activities of the Chinese vessel fall within the Philippines’ EEZ, constituting violations of the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 Arbitral Award.

The PCG remains resolute in its commitment to addressing the unlawful presence of Chinese maritime forces. We will not allow any alterations to the status quo through encroachment on Luzon’s coastline. The continued presence of BRP Cabra illustrates our unwavering dedication to upholding our sovereign rights and a firm stance against violations of international law, all while prioritizing a peaceful resolution.",['https://pbs.twimg.com/media/Gjg_RcgacAAqU54?format=jpg&name=large'],https://x.com/jaytaryela/status/1889329722435539306
BRP Teresa Magbanua Upholds Sovereign Rights Against CCG,https://wpstransparency.ph/brp-teresa-magbanua-upholds-sovereign-rights-against-ccg/,"February 6, 2025","BRP Teresa Magbanua Upholds Philippine Sovereign Rights Against Illegal Presence of China Coast Guard In compliance with the directive from President @bongbongmarcos, the Philippine Coast Guard (PCG), BRP Teresa Magbanua, ...","BRP Teresa Magbanua Upholds Philippine Sovereign Rights Against Illegal Presence of China Coast Guard

In compliance with the directive from President@bongbongmarcos, the Philippine Coast Guard (PCG), BRP Teresa Magbanua, continues to assert the Philippines’ sovereign rights in response to the illegal presence of the China Coast Guard vessel 3304. This vessel is currently situated approximately 105-115 nautical miles off the coast of Zambales, within the Philippines’ Exclusive Economic Zone (EEZ).

The PCG has vigilantly contacted the China Coast Guard vessel through radio, clearly stating that its presence constitutes a violation of the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 Arbitral Award.

Despite challenging sea conditions, with wave heights reaching 3-4 meters, the BRP Teresa Magbanua has remained vigilant for over a week now. The PCG is dedicated to safeguarding the maritime rights of the Philippines, ensuring the safety of Filipino fishermen, enforcing international law, and working towards the de-escalation of tensions in the West Philippine Sea.",['https://pbs.twimg.com/media/GjG1AMhbYAARkJl?format=jpg&name=large'],https://x.com/jaytaryela/status/1887488908684107915
BRP Cabra Shadows CCG Until Exit from Philippine EEZ,https://wpstransparency.ph/brp-cabra-shadows-ccg-until-exit-from-philippine-eez/,"February 4, 2025","BRP Cabra Shadows Chinese Coast Guard Until Departure from Exclusive Economic Zone The Philippine Coast Guard (PCG) vessel, BRP Cabra (MRRV-4409), undertook a vigilant operation yesterday, closely shadowing Chinese Coast ...","BRP Cabra Shadows Chinese Coast Guard Until Departure from Exclusive Economic Zone

The Philippine Coast Guard (PCG) vessel, BRP Cabra (MRRV-4409), undertook a vigilant operation yesterday, closely shadowing Chinese Coast Guard vessels 3301 and 3104 until their exit from the Philippine Exclusive Economic Zone (EEZ). Throughout this operation, the Chinese vessels were radio challenged, highlighting their absence of legal authority to patrol the area as stipulated by the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 Arbitral Award.

According to Dark Vessel Detection data, as of 7 AM today, the Chinese Coast Guard vessels were tracked at distances of 61 nautical miles and 81 nautical miles from Guangdong Province, China, respectively.

The Philippine Coast Guard remains unwavering in its commitment to uphold the nation’s maritime rights and safeguard national interests in the West Philippine Sea, ensuring a vigilant approach without escalating tensions.",['https://pbs.twimg.com/media/Gi6Mxaza4AINv9x?format=jpg&name=large'],https://x.com/jaytaryela/status/1886600158496129239
PCG Tracks CCG Vessels Off Pangasinan Coast,https://wpstransparency.ph/pcg-tracks-ccg-vessels-off-pangasinan-coast/,"February 2, 2025",Philippine Coast Guard Tracks China Coast Guard Vessels off Pangasinan Coast The Philippine Coast Guard (PCG) has detected the movement of two China Coast Guard vessels approximately 34 nautical miles ...,"Philippine Coast Guard Tracks China Coast Guard Vessels off Pangasinan Coast

The Philippine Coast Guard (PCG) has detected the movement of two China Coast Guard vessels approximately 34 nautical miles off the coast of Pangasinan through its Dark Vessel Detection (DVD) program.

In response, PCG Commandant Admiral Ronnie Gil Gavan has swiftly ordered the deployment of the PCG Islander aircraft to visually identify the vessels and initiate a radio challenge. At around 9:30 AM today, the PCG aircraft confirmed the illegal presence of the China Coast Guard vessels, identified by bow numbers 3301 and 3104. Notably, the CCG vessels did not respond to the radio challenge issued by the PCG.

Currently, two PCG vessels, BRP Cabra (MRRV-4409) and BRP Bagacay (MRRV-4410) both 44-meter ships, have been dispatched to Bolinao, Pangasinan, to address the illegal presence of the China Coast Guard and reinforce the Philippine government’s position against the normalization of illegal patrols by the People’s Republic of China (PRC) within the Philippine Exclusive Economic Zone (EEZ).

In alignment with the policy direction of President Ferdinand R. Marcos Jr., the PCG is committed to protecting the country’s maritime interests in accordance with international law. As it fulfills its patriotic duty, the PCG will uphold professionalism and vigilance to prevent any escalation of tensions.","['https://pbs.twimg.com/media/GiwOUG5aMAAUfUb?format=jpg&name=large', 'https://pbs.twimg.com/media/GiwOUGxacAAKm6e?format=jpg&name=large']",https://x.com/jaytaryela/status/1885898728571306039
BRP Teresa Magbanua Forces CCG Vessel Away from Zambales,https://wpstransparency.ph/brp-teresa-magbanua-forces-ccg-vessel-away-from-zambales/,"January 30, 2025","BRP Teresa Magbanua Successfully Pushes Chinese Coast Guard Vessel Further from Zambales The Philippine Coast Guard (PCG) vessel, BRP Teresa Magbanua, has achieved a significant milestone by successfully pushing the ...","BRP Teresa Magbanua Successfully Pushes Chinese Coast Guard Vessel Further from Zambales

The Philippine Coast Guard (PCG) vessel, BRP Teresa Magbanua, has achieved a significant milestone by successfully pushing the Chinese Coast Guard (CCG) vessel CCG-3304 further away from the coast of Zambales, now estimated to be at a distance of 100-105 nautical miles. Despite CCG-3304’s assertions that it is patrolling within China’s maritime jurisdiction and its refusal to recognize the arbitral award, the BRP Teresa Magbanua has persistently emphasized that the Chinese vessel lacks legal authority and is, in fact, violating the Philippine Maritime Zones Act, the United Nations Convention on the Law of the Sea (UNCLOS), and the 2016 arbitral award.

In addition, the PCG has been monitoring the presence of other three CCG vessels off the coast of Zambales. CCG-5901 is currently approximately 103.63 nautical miles away, CCG-3502 is at around 115.22 nautical miles, and CCG-3103 is positioned approximately 134.10 nautical miles from the coast of Zambales.

The PCG remains unwavering in its commitment to uphold President Bongbong Marcos’ directives, diligently working to prevent CCG from establishing an illegal presence and engaging in coercive actions in the West Philippine Sea, all while ensuring that tensions do not escalate.",['https://pbs.twimg.com/media/GiijQPEaMAExG19?format=jpg&name=medium'],https://x.com/jaytaryela/status/1884936224533807350
